epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,620.916,0.80206,1.04307,0.51225,0.00439,0.70557,0.848,0.78166,0.88013,0.71894,0.84561,0.78929,0.87456,0.68716,0.77751,1.28782,0.65307,0.00592,0,0.0005348,0.0005348,0.0005348
39,637.12,0.77571,1.02067,0.51728,0.00433,0.63858,0.81381,0.77778,0.85028,0.69719,0.79796,0.79913,0.85008,0.67712,0.78173,1.28529,0.73101,0.00596,0,0.0004952,0.0004952,0.0004952
40,653.055,0.78393,1.00056,0.49337,0.00432,0.60719,0.82707,0.77074,0.86775,0.70029,0.82941,0.77293,0.86659,0.69626,0.81013,1.28362,0.70259,0.00612,0,0.0004556,0.0004556,0.0004556
41,684.812,0.76186,0.99292,0.47689,0.00564,0.60573,0.82562,0.79913,0.8692,0.6995,0.82562,0.79913,0.86788,0.69939,0.83282,1.33423,0.70517,0.0062,0,0.000416,0.000416,0.000416
42,700.265,0.75967,1.00053,0.46824,0.00543,0.63021,0.83039,0.76092,0.85631,0.68686,0.82732,0.76528,0.85055,0.67003,0.80918,1.32767,0.74417,0.00617,0,0.0003764,0.0003764,0.0003764
43,716.01,0.73032,0.94754,0.43989,0.00524,0.55,0.82803,0.81659,0.88248,0.72094,0.82902,0.81441,0.87515,0.70985,0.77251,1.21763,0.67178,0.00568,0,0.0003368,0.0003368,0.0003368
44,731.424,0.72039,0.95248,0.43037,0.00512,0.51133,0.84284,0.79039,0.87311,0.71748,0.83608,0.79258,0.86415,0.69591,0.76422,1.2201,0.70056,0.00569,0,0.0002972,0.0002972,0.0002972
45,746.978,0.70304,0.8994,0.42775,0.00514,0.48138,0.86061,0.7684,0.867,0.71526,0.85809,0.76572,0.85778,0.6875,0.77097,1.28806,0.70694,0.00564,0,0.0002576,0.0002576,0.0002576
46,762.281,0.68961,0.91901,0.40592,0.00497,0.50813,0.80853,0.79292,0.86206,0.70994,0.81566,0.79476,0.86126,0.68298,0.77378,1.27253,0.72656,0.00573,0,0.000218,0.000218,0.000218
47,777.336,0.69939,0.9052,0.4206,0.00506,0.47774,0.79732,0.79452,0.85595,0.70911,0.79939,0.79611,0.85285,0.67864,0.75072,1.30177,0.73549,0.0055,0,0.0001784,0.0001784,0.0001784
48,792.594,0.68159,0.90937,0.39349,0.00479,0.41739,0.83661,0.78816,0.86839,0.7248,0.84105,0.77404,0.863,0.70036,0.7429,1.28843,0.67793,0.00545,0,0.0001388,0.0001388,0.0001388
49,808.22,0.65899,0.8707,0.38322,0.00451,0.38865,0.83129,0.81223,0.87674,0.7341,0.83615,0.81223,0.87489,0.70598,0.73176,1.27096,0.66236,0.00531,0,9.92e-05,9.92e-05,9.92e-05
50,823.734,0.65328,0.87668,0.37185,0.00454,0.39993,0.8082,0.83265,0.8799,0.73912,0.80757,0.83079,0.8741,0.71217,0.71836,1.27113,0.63695,0.00513,0,5.96e-05,5.96e-05,5.96e-05
